method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
baseline,{},,0.895139275971541,0.9056791854629719,0.8420791258398201,0.8503937007874016,0.8818897637795275,0.8095238095238095,0.9881703470031545,1.6665053993142256,0.9929022082018928,1.7709920872519387,0.0,0.0,,0.0
dummy,{},,0.042719170020387186,0.042719170020387186,0.006090541064538947,0.007874015748031496,0.007874015748031496,0.0007886435331230284,0.32965299684542587,2.2996845425867507,0.32965299684542587,2.2996845425867507,1.0,1.0,,
presidio,{},,0.7934746160776729,0.8122247225917191,0.6869911877511305,0.7086614173228346,0.7401574803149606,0.5952380952380952,0.9511041009463722,1.7897567700435748,0.9652996845425867,1.9511457657694924,0.061723383020151304,0.08740905820383259,,0.10097003154574133
petre_shap,{'k': 2},,0.6555877965539134,0.6871778075002234,0.324948057892898,0.5590551181102362,0.5354330708661418,0.0,0.9029968454258676,2.0691912807519723,0.8588328075709779,1.8126345957592864,0.11398588431182344,0.3330644553968659,0.39487251250401867,45.00191799230905
petre_shap,{'k': 3},,0.6062169485960152,0.6258222975911361,0.2155042495204464,0.49606299212598426,0.44881889763779526,0.0,0.8722397476340694,2.0729480313384063,0.8280757097791798,1.8982472250094298,0.12792607756443203,0.39215348657181676,0.4431404979717001,49.67655354304959
petre_shap,{'k': 5},,0.5149584669296912,0.5384227417663834,0.1274774015792363,0.3858267716535433,0.3228346456692913,0.0,0.8564668769716088,2.094877318733281,0.7862776025236593,1.9840945437185278,0.14613603896899177,0.47219771530853044,0.47264525962851384,52.534017065106404
petre_shap,{'k': 7},,0.46148876110151726,0.48732209809684224,0.08948883516113071,0.33858267716535434,0.2677165354330709,0.0,0.8493690851735016,2.0499996744609095,0.7673501577287066,2.038661569657745,0.15596335806681155,0.5142674312035536,0.4891712861764025,54.134522047129515
petre_shap,{'k': 10},,0.40988318789615824,0.38997403933146063,0.06316693358809522,0.2755905511811024,0.14960629921259844,0.0,0.832807570977918,2.081433713649259,0.7413249211356467,2.099495325130111,0.1648827590494878,0.5516871782748707,0.5034485188253002,55.51723687684657
petre_shap,{'k': 15},,0.36731162677875673,0.3256324932089362,0.04183246780591167,0.2283464566929134,0.12598425196850394,0.0,0.805205047318612,2.1063466429343207,0.7105678233438486,2.1699736463445496,0.1747775500881183,0.5900271182039926,0.5183033115131697,56.95588697431316
dpmlm_shap,"{'epsilon': 10, 'k': 2}",,0.6422380609953026,0.6694454232650046,0.35132816664775074,0.5118110236220472,0.4881889763779528,0.007936507936507936,0.9282334384858044,1.8742603365262243,0.9022082018927445,1.7224169317702671,0.0876273214346979,0.13916145078250286,0.16324301073300196,25.15502315051615
